Survived,Pclass,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Sex_male
0.0,0.0,-0.5922398190045248,1.0,0.0,-0.3120106021758714,0.0,0.0,0.0
1.0,-2.0,0.6385294117647061,1.0,0.0,2.4612422909015312,0.0,-1.0,-1.0
1.0,0.0,-0.284547511312217,0.0,0.0,-0.2827766613540295,0.0,0.0,-1.0
1.0,-2.0,0.4077601809954752,1.0,0.0,1.6737318966114614,0.0,0.0,-1.0
0.0,0.0,0.4077601809954752,0.0,0.0,-0.277362968609244,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.2596796826276765,1.0,-1.0,0.0
0.0,-2.0,1.869298642533937,0.0,0.0,1.620136338438085,0.0,0.0,0.0
0.0,0.0,-2.130701357466063,3.0,0.1666666666666666,0.2867438153974083,0.0,0.0,0.0
1.0,0.0,-0.2076244343891401,0.0,0.3333333333333333,-0.1438266578892661,0.0,0.0,-1.0
1.0,-1.0,-1.20762443438914,1.0,0.0,0.6763477929457417,0.0,-1.0,-1.0
1.0,0.0,-1.9768552036199087,1.0,0.1666666666666666,0.0972645693299147,0.0,0.0,-1.0
1.0,-2.0,2.176990950226245,0.0,0.0,0.5238635576190146,0.0,0.0,-1.0
0.0,0.0,-0.7460859728506785,0.0,0.0,-0.277362968609244,0.0,0.0,0.0
0.0,0.0,0.715452488687783,1.0,0.8333333333333333,0.7285011433719077,0.0,0.0,0.0
0.0,0.0,-1.20762443438914,0.0,0.0,-0.2858429769246761,0.0,0.0,-1.0
1.0,-1.0,1.9462217194570144,0.0,0.0,0.0669478899591157,0.0,0.0,-1.0
0.0,0.0,-2.130701357466063,4.0,0.1666666666666666,0.6353856281615966,1.0,-1.0,0.0
1.0,-1.0,0.0,0.0,0.0,-0.0629807359157369,0.0,0.0,0.0
0.0,0.0,0.1000678733031676,1.0,0.0,0.1535669738756843,0.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0,-0.3130933407248285,0.0,-1.0,-1.0
0.0,-1.0,0.4077601809954752,0.0,0.0,0.5000433095419583,0.0,0.0,0.0
1.0,-1.0,0.3308371040723983,0.0,0.0,-0.0629807359157369,0.0,0.0,0.0
1.0,0.0,-1.130701357466063,0.0,0.0,-0.2782638070819763,1.0,-1.0,-1.0
1.0,-2.0,-0.1307013574660632,0.0,0.0,0.9114839581456587,0.0,0.0,0.0
0.0,0.0,-1.6691628959276017,3.0,0.1666666666666666,0.2867438153974083,0.0,0.0,-1.0
1.0,0.0,0.6385294117647061,1.0,0.8333333333333333,0.7333734668422146,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,-0.3130933407248285,0.0,-1.0,0.0
0.0,-2.0,-0.8230090497737553,3.0,0.3333333333333333,10.764404753655327,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,-0.2847602383757189,1.0,-1.0,-1.0
0.0,0.0,0.0,0.0,0.0,-0.2840412999792114,0.0,0.0,0.0
0.0,-2.0,0.7923755656108599,0.0,0.0,0.5745703693437738,0.0,-1.0,0.0
1.0,-2.0,0.0,1.0,0.0,5.719743953987943,0.0,-1.0,-1.0
1.0,0.0,0.0,0.0,0.0,-0.2903558311967293,1.0,-1.0,-1.0
